,country,sector,gas,emissions_quantity,year
518,CHN,oil-and-gas-production-and-transport,co2e_20yr,473230072.1,2015
519,COD,oil-and-gas-production-and-transport,co2e_100yr,707633.5105,2015
520,COD,oil-and-gas-production-and-transport,co2e_20yr,1428000.371,2015
521,COG,oil-and-gas-production-and-transport,co2,4186991.771,2015
522,COG,oil-and-gas-production-and-transport,ch4,180547.0224,2015
523,COG,oil-and-gas-production-and-transport,co2e_100yr,9567293.038,2015
524,COG,oil-and-gas-production-and-transport,co2e_20yr,19854227.35,2015
525,COL,oil-and-gas-production-and-transport,co2,30923031.41,2015
526,COL,oil-and-gas-production-and-transport,ch4,443493.4088,2015
527,COL,oil-and-gas-production-and-transport,co2e_100yr,44139134.99,2015
528,COL,oil-and-gas-production-and-transport,co2e_20yr,73591842.32,2015
529,CUB,oil-and-gas-production-and-transport,co2,1946853.713,2015
530,CUB,oil-and-gas-production-and-transport,ch4,18549.68663,2015
531,CUB,oil-and-gas-production-and-transport,co2e_100yr,2499634.375,2015
532,CUB,oil-and-gas-production-and-transport,co2e_20yr,3600040.473,2015
533,DEU,oil-and-gas-production-and-transport,co2,1103428.253,2015
534,DEU,oil-and-gas-production-and-transport,ch4,91107.40731,2015
535,DEU,oil-and-gas-production-and-transport,co2e_100yr,3818428.991,2015
536,DEU,oil-and-gas-production-and-transport,co2e_20yr,8891853.449,2015
537,DNK,oil-and-gas-production-and-transport,co2,1842370.189,2015
538,DNK,oil-and-gas-production-and-transport,ch4,82297.2003,2015
539,DNK,oil-and-gas-production-and-transport,co2e_100yr,4294826.758,2015
540,DNK,oil-and-gas-production-and-transport,co2e_20yr,9547630.719,2015
541,DZA,oil-and-gas-production-and-transport,co2,54930837.71,2015
542,DZA,oil-and-gas-production-and-transport,ch4,3000768.161,2015
543,DZA,oil-and-gas-production-and-transport,co2e_100yr,144353728.9,2015
544,DZA,oil-and-gas-production-and-transport,co2e_20yr,317959880.8,2015
545,ECU,oil-and-gas-production-and-transport,co2,7727325.988,2015
546,ECU,oil-and-gas-production-and-transport,ch4,251738.2191,2015
547,ECU,oil-and-gas-production-and-transport,co2e_100yr,15229124.92,2015
548,ECU,oil-and-gas-production-and-transport,co2e_20yr,30123044.92,2015
549,EGY,oil-and-gas-production-and-transport,co2,15939021.35,2015
550,EGY,oil-and-gas-production-and-transport,ch4,548576.3318,2015
551,EGY,oil-and-gas-production-and-transport,co2e_100yr,32286596.04,2015
552,EGY,oil-and-gas-production-and-transport,co2e_20yr,65904858.01,2015
553,ESP,oil-and-gas-production-and-transport,co2,68048.48631,2015
554,ESP,oil-and-gas-production-and-transport,ch4,2995.558928,2015
555,ESP,oil-and-gas-production-and-transport,co2e_100yr,157316.1424,2015
556,ESP,oil-and-gas-production-and-transport,co2e_20yr,330289.7949,2015
557,EST,oil-and-gas-production-and-transport,co2,199190.8808,2015
558,EST,oil-and-gas-production-and-transport,ch4,7870.277475,2015
559,EST,oil-and-gas-production-and-transport,co2e_100yr,433725.1496,2015
560,EST,oil-and-gas-production-and-transport,co2e_20yr,888533.2443,2015
561,FRA,oil-and-gas-production-and-transport,co2,255352.0246,2015
562,FRA,oil-and-gas-production-and-transport,ch4,9448.180344,2015
563,FRA,oil-and-gas-production-and-transport,co2e_100yr,536907.7989,2015
564,FRA,oil-and-gas-production-and-transport,co2e_20yr,1092211.51,2015
565,GAB,oil-and-gas-production-and-transport,co2,3767920.384,2015
566,GAB,oil-and-gas-production-and-transport,ch4,144713.9641,2015
567,GAB,oil-and-gas-production-and-transport,co2e_100yr,8080396.513,2015
568,GAB,oil-and-gas-production-and-transport,co2e_20yr,16332236.02,2015
569,GBR,oil-and-gas-production-and-transport,co2,16410683.72,2015
570,GBR,oil-and-gas-production-and-transport,ch4,505064.3778,2015
571,GBR,oil-and-gas-production-and-transport,co2e_100yr,31461602.18,2015
572,GBR,oil-and-gas-production-and-transport,co2e_20yr,64789537.51,2015
573,GEO,oil-and-gas-production-and-transport,co2,12954.20094,2015
574,GEO,oil-and-gas-production-and-transport,ch4,508.191681,2015
575,GEO,oil-and-gas-production-and-transport,co2e_100yr,28098.31303,2015
576,GEO,oil-and-gas-production-and-transport,co2e_20yr,57730.77764,2015
577,GHA,oil-and-gas-production-and-transport,co2,1277319.189,2015
578,GHA,oil-and-gas-production-and-transport,ch4,34068.07205,2015
579,GHA,oil-and-gas-production-and-transport,co2e_100yr,2292547.736,2015
580,GHA,oil-and-gas-production-and-transport,co2e_20yr,4409614.784,2015
581,GNQ,oil-and-gas-production-and-transport,co2,5967471.703,2015
582,GNQ,oil-and-gas-production-and-transport,ch4,166402.0809,2015
583,GNQ,oil-and-gas-production-and-transport,co2e_100yr,10926253.71,2015
584,GNQ,oil-and-gas-production-and-transport,co2e_20yr,21734874.33,2015
585,GRC,oil-and-gas-production-and-transport,co2,12881.62084,2015
586,GRC,oil-and-gas-production-and-transport,ch4,604.3339797,2015
587,GRC,oil-and-gas-production-and-transport,co2e_100yr,30890.77344,2015
588,GRC,oil-and-gas-production-and-transport,co2e_20yr,66561.72911,2015
589,GTM,oil-and-gas-production-and-transport,co2,142350.712,2015
590,GTM,oil-and-gas-production-and-transport,ch4,5487.609038,2015
591,GTM,oil-and-gas-production-and-transport,co2e_100yr,305881.4614,2015
592,GTM,oil-and-gas-production-and-transport,co2e_20yr,618198.4314,2015
593,HRV,oil-and-gas-production-and-transport,co2,324624.2887,2015
594,HRV,oil-and-gas-production-and-transport,ch4,22860.33326,2015
595,HRV,oil-and-gas-production-and-transport,co2e_100yr,1005862.22,2015
596,HRV,oil-and-gas-production-and-transport,co2e_20yr,2309136.611,2015
597,IDN,oil-and-gas-production-and-transport,co2,89509230.69,2015
598,IDN,oil-and-gas-production-and-transport,ch4,862357.3628,2015
599,IDN,oil-and-gas-production-and-transport,co2e_100yr,115207480.1,2015
600,IDN,oil-and-gas-production-and-transport,co2e_20yr,166548238.7,2015
601,IND,oil-and-gas-production-and-transport,co2,13741271.17,2015
602,IND,oil-and-gas-production-and-transport,ch4,532695.8368,2015
603,IRN,oil-and-gas-production-and-transport,co2,120635221.7,2015
604,IRN,oil-and-gas-production-and-transport,ch4,2890285.653,2015
605,IRN,oil-and-gas-production-and-transport,co2e_100yr,206765734.2,2015
606,IRN,oil-and-gas-production-and-transport,co2e_20yr,408696811.2,2015
607,IRQ,oil-and-gas-production-and-transport,co2,68095966.68,2015
608,IRQ,oil-and-gas-production-and-transport,ch4,2192018.208,2015
609,IRQ,oil-and-gas-production-and-transport,co2e_100yr,133418109.3,2015
610,IRQ,oil-and-gas-production-and-transport,co2e_20yr,259795542.2,2015
611,ISR,oil-and-gas-production-and-transport,co2,1056245.967,2015
612,ISR,oil-and-gas-production-and-transport,ch4,65194.41207,2015
613,ISR,oil-and-gas-production-and-transport,co2e_100yr,2999039.447,2015
614,ISR,oil-and-gas-production-and-transport,co2e_20yr,6704221.744,2015
615,ITA,oil-and-gas-production-and-transport,co2,1749408.211,2015
616,ITA,oil-and-gas-production-and-transport,ch4,69745.47767,2015
617,ITA,oil-and-gas-production-and-transport,co2e_100yr,3827823.445,2015
618,ITA,oil-and-gas-production-and-transport,co2e_20yr,8017149.417,2015
619,JOR,oil-and-gas-production-and-transport,co2,46546.25482,2015
620,JOR,oil-and-gas-production-and-transport,ch4,1435.147899,2015
621,JOR,oil-and-gas-production-and-transport,co2e_100yr,89313.66222,2015
622,JOR,oil-and-gas-production-and-transport,co2e_20yr,199319.0558,2015
623,JPN,oil-and-gas-production-and-transport,co2,264275.883,2015
624,JPN,oil-and-gas-production-and-transport,ch4,20150.93258,2015
625,JPN,oil-and-gas-production-and-transport,co2e_100yr,864773.6737,2015
626,JPN,oil-and-gas-production-and-transport,co2e_20yr,2014175.498,2015
627,KGZ,oil-and-gas-production-and-transport,co2,5752.451514,2015
628,KGZ,oil-and-gas-production-and-transport,ch4,169.5154206,2015
629,KGZ,oil-and-gas-production-and-transport,co2e_100yr,10804.01105,2015
630,KGZ,oil-and-gas-production-and-transport,co2e_20yr,21339.56933,2015
631,KWT,oil-and-gas-production-and-transport,co2,25241054.0,2015
632,KWT,oil-and-gas-production-and-transport,ch4,642539.7168,2015
633,KWT,oil-and-gas-production-and-transport,co2e_100yr,44388737.56,2015
634,KWT,oil-and-gas-production-and-transport,co2e_20yr,83060988.54,2015
635,LBY,oil-and-gas-production-and-transport,co2,12785000.38,2015
636,LBY,oil-and-gas-production-and-transport,ch4,466308.3387,2015
637,LBY,oil-and-gas-production-and-transport,co2e_100yr,26680988.88,2015
638,IND,oil-and-gas-production-and-transport,co2e_100yr,29615607.11,2015
639,IND,oil-and-gas-production-and-transport,co2e_20yr,62317196.75,2015
640,KAZ,oil-and-gas-production-and-transport,co2,32840212.85,2015
641,KAZ,oil-and-gas-production-and-transport,ch4,821902.0186,2015
642,KAZ,oil-and-gas-production-and-transport,co2e_100yr,57332893.01,2015
643,KAZ,oil-and-gas-production-and-transport,co2e_20yr,110154672.9,2015
644,LBY,oil-and-gas-production-and-transport,co2e_20yr,54659218.64,2015
645,MAR,oil-and-gas-production-and-transport,co2,20440.03312,2015
646,MAR,oil-and-gas-production-and-transport,ch4,1455.302947,2015
647,MAR,oil-and-gas-production-and-transport,co2e_100yr,63808.06092,2015
648,MAR,oil-and-gas-production-and-transport,co2e_20yr,146403.9926,2015
649,MEX,oil-and-gas-production-and-transport,co2,34350980.24,2015
650,MEX,oil-and-gas-production-and-transport,ch4,952416.9509,2015
651,MEX,oil-and-gas-production-and-transport,co2e_100yr,62733005.38,2015
652,MEX,oil-and-gas-production-and-transport,co2e_20yr,120064827.6,2015
653,MMR,oil-and-gas-production-and-transport,co2,2419646.819,2015
654,MMR,oil-and-gas-production-and-transport,ch4,159635.6641,2015
655,MMR,oil-and-gas-production-and-transport,co2e_100yr,7176789.61,2015
656,MMR,oil-and-gas-production-and-transport,co2e_20yr,16138969.77,2015
657,MOZ,oil-and-gas-production-and-transport,co2,761878.73,2015
658,MOZ,oil-and-gas-production-and-transport,ch4,39792.3237,2015
659,MOZ,oil-and-gas-production-and-transport,co2e_100yr,1947689.976,2015
660,MOZ,oil-and-gas-production-and-transport,co2e_20yr,4211596.16,2015
661,NZL,oil-and-gas-production-and-transport,co2,1302093.927,2015
662,NZL,oil-and-gas-production-and-transport,ch4,58921.42083,2015
663,NZL,oil-and-gas-production-and-transport,co2e_100yr,3057952.267,2015
664,NZL,oil-and-gas-production-and-transport,co2e_20yr,6865748.827,2015
665,OMN,oil-and-gas-production-and-transport,co2,20668747.72,2015
666,MDG,oil-and-gas-production-and-transport,co2,71738.46138,2015
667,MDG,oil-and-gas-production-and-transport,ch4,448.326512,2015
668,MDG,oil-and-gas-production-and-transport,co2e_100yr,85098.59144,2015
669,MDG,oil-and-gas-production-and-transport,co2e_20yr,111817.9492,2015
670,MYS,oil-and-gas-production-and-transport,co2,82672708.49,2015
671,MYS,oil-and-gas-production-and-transport,ch4,728369.6391,2015
672,MYS,oil-and-gas-production-and-transport,co2e_100yr,104378123.7,2015
673,MYS,oil-and-gas-production-and-transport,co2e_20yr,148529570.5,2015
674,NGA,oil-and-gas-production-and-transport,co2,41135950.64,2015
675,NGA,oil-and-gas-production-and-transport,ch4,1327134.717,2015
676,NOR,oil-and-gas-production-and-transport,co2,37891023.4,2015
677,NOR,oil-and-gas-production-and-transport,ch4,1578629.917,2015
678,NOR,oil-and-gas-production-and-transport,co2e_100yr,84934194.94,2015
679,NOR,oil-and-gas-production-and-transport,co2e_20yr,185005684.3,2015
680,OMN,oil-and-gas-production-and-transport,ch4,584931.7772,2015
681,OMN,oil-and-gas-production-and-transport,co2e_100yr,38099714.68,2015
682,OMN,oil-and-gas-production-and-transport,co2e_20yr,74417507.31,2015
683,PAK,oil-and-gas-production-and-transport,co2,7884649.525,2015
684,PAK,oil-and-gas-production-and-transport,ch4,410556.2473,2015
685,PAK,oil-and-gas-production-and-transport,co2e_100yr,20119225.69,2015
686,PAK,oil-and-gas-production-and-transport,co2e_20yr,43339868.61,2015
687,PER,oil-and-gas-production-and-transport,co2,5609314.465,2015
688,PER,oil-and-gas-production-and-transport,ch4,147680.8685,2015
689,PER,oil-and-gas-production-and-transport,co2e_100yr,10010204.35,2015
690,PER,oil-and-gas-production-and-transport,co2e_20yr,20419194.72,2015
691,PHL,oil-and-gas-production-and-transport,co2,720223.3718,2015
692,PHL,oil-and-gas-production-and-transport,ch4,38787.59607,2015
693,PHL,oil-and-gas-production-and-transport,co2e_100yr,1876093.735,2015
694,PHL,oil-and-gas-production-and-transport,co2e_20yr,4211567.119,2015
695,PNG,oil-and-gas-production-and-transport,co2,4799892.956,2015
696,PNG,oil-and-gas-production-and-transport,ch4,119519.1984,2015
697,PNG,oil-and-gas-production-and-transport,co2e_100yr,8361565.069,2015
698,PNG,oil-and-gas-production-and-transport,co2e_20yr,15779220.08,2015
699,PRK,oil-and-gas-production-and-transport,co2,40542.45954,2015
700,PRK,oil-and-gas-production-and-transport,ch4,1985.243113,2015
701,PRK,oil-and-gas-production-and-transport,co2e_100yr,99702.70431,2015
702,PRK,oil-and-gas-production-and-transport,co2e_20yr,217126.088,2015
703,QAT,oil-and-gas-production-and-transport,co2,59503268.46,2015
704,QAT,oil-and-gas-production-and-transport,ch4,1620008.39,2015
705,QAT,oil-and-gas-production-and-transport,co2e_100yr,107779518.5,2015
706,QAT,oil-and-gas-production-and-transport,co2e_20yr,215460769.1,2015
707,SRB,oil-and-gas-production-and-transport,co2,376864.5482,2015
708,SRB,oil-and-gas-production-and-transport,ch4,11141.89431,2015
709,RUS,oil-and-gas-production-and-transport,co2,570701717.8,2015
