,country_code,year,emissions_total,emissions_per_capita,methane_emissions(kt_CO2_emissions),nitrous_oxide_emissions(mt_CO2_emissions),pop_0014_percent,pop_1564_percent,pop_65up_percent,pop_growth_percent,pop_total,urban_pop_total,urban_pop_percent,fossil_energy_use_imp,electricity_access_percent_imp,fdi_percent_gdp_imp,cereal_yield_imp,emissions_per_gdp_imp,gdp_per_capita_imp,gni_per_capita_imp,forest_area_in_per_imp,renewable_energy_consumption_imp,energy_use_per_capita_imp,pop_urb_aggl_percent_imp
2303,MNG,2008,12970.0002670288,4.92428121139168,10670.0000762939,9910.0,28.1539549430262,68.0385931441643,3.80745191280949,1.07812241088145,2633887.0,1727329.0,65.581,94.5291219305574,79.5056991577148,0.111013808966093,1382.8,0.672665205777917,2134.94977152342,1800.0,9.11731512861835,4.66,1360.64834975836,39.9055084747371
2304,MNG,2007,13020.0004577637,4.99684740302632,10479.9995422363,9820.0,28.4804173096621,67.7398246805107,3.77975800982713,0.940879931171425,2605643.0,1682307.0,64.564,94.4972344864733,78.2928466796875,0.301081476552201,942.5,0.749462543503562,1625.31851957785,1400.0,9.12248678880711,4.7,1370.18885549555,38.7662469494094
2305,MNG,2006,12420.0000762939,4.81163721816626,9159.99984741211,9020.0,29.0662595758166,67.2080145914254,3.72572583275803,0.855447793558829,2581242.0,1639992.0,63.535,94.5067030036393,77.0872192382813,1.59341284717059,1098.0,0.809491780888875,1322.64063815551,1110.0,9.12762336031384,4.48,1320.33300248485,37.609956757251
2306,MNG,2005,11060.0004196167,4.32157030839705,8229.99954223633,8420.0,29.8985251567351,66.4525613899357,3.64891345332919,0.83599259855571,2559255.0,1599381.0,62.494,93.9137750017943,86.1999969482422,0.0911442816304427,474.3,0.806675173846004,986.01801384029,880.0,9.15047384615134,5.34,1170.47148486571,36.4569376634997
2307,MNG,2004,9560.0004196167,3.76682132683387,7409.99984741211,7980.0,30.891065974927,65.53723104759,3.571702977483,0.850550681669034,2537949.0,1559392.0,61.443,92.9924886972833,74.6868896484375,0.2870217442144795,787.5,0.771299669997695,784.912071951003,750.0,9.15562080463703,5.76,1024.63879297811,35.3343585706411
2308,MNG,2003,9310.0004196167,3.69965054780127,7750.0,8110.0,31.9530044962087,64.5286312661847,3.51836423760662,0.87155573049131,2516454.0,1519385.0,60.378,92.7807190176567,76.3000030517578,0.2870217442144795,785.3,0.85324610809694,633.946559636492,600.0,9.1593411587666,6.09,1003.55102855049,34.2475960220215
2309,MNG,2002,9600.00038146973,3.84828628261161,7699.99980926514,8060.0,33.0335813005401,63.482878637707,3.48354006175295,0.886457738285741,2494617.0,1479408.0,59.304,92.9921113972654,72.2844696044922,0.2870217442144795,585.4,0.960033090591478,559.827709012681,520.0,9.20740675053234,6.51,1036.48335596206,33.2030127270038
2310,MNG,2001,8970.0,3.62775878518208,9489.99977111816,8750.0,34.1162605693357,62.4303112390555,3.45342819160876,0.878309644537485,2472601.0,1439598.0,58.222,93.1131030398655,71.0765762329102,0.2870217442144795,708.4,0.954129364234184,512.819469988285,470.0,9.21257792833521,6.09,976.601158051784,32.1951256996175
2311,MNG,2000,9000.0,3.67200208569718,11100.0003814697,9630.0,35.2045580144591,61.3710967390792,3.42434524646167,0.921869510816351,2450979.0,1400318.0,57.133,93.9270329318181,67.3000030517578,0.2870217442144795,770.1,1.00779214676372,463.853881903101,460.0,9.21774776141672,5.73,977.808459395205,31.2169953312534
2312,MNG,1999,8610.0,3.54541591311137,10920.0000762939,9440.0,36.1669969476886,60.4136525306389,3.41935052167244,0.965740134380102,2428488.0,1375083.0,56.623,95.6320548299265,95.3922424316406,0.2870217442144795,606.2,0.997263535622358,435.418494422327,470.0,9.22344104009773,3.59397600931593,924.044096573671,30.550820098761
