iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
TLS,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,3826224.808,tonnes,annual,2022-09-05 15:48:05.490751,
TLS,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,7538292.55,tonnes,annual,2022-09-05 15:48:05.490758,
TTO,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2,10540546.61,tonnes,annual,2022-09-05 15:48:05.490916,
TTO,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,298504.707,tonnes,annual,2022-09-05 15:48:05.490923,
TTO,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,19435986.88,tonnes,annual,2022-09-05 15:48:05.49094,
TTO,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,36815096.69,tonnes,annual,2022-09-05 15:48:05.490948,
TUN,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2,1285270.914,tonnes,annual,2022-09-05 15:48:05.491108,
TUN,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,53576.22331,tonnes,annual,2022-09-05 15:48:05.491114,
TUN,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,2881842.369,tonnes,annual,2022-09-05 15:48:05.491129,
TUN,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,6323393.112,tonnes,annual,2022-09-05 15:48:05.491135,
TZA,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2,178257.0073,tonnes,annual,2022-09-05 15:48:05.491292,
TZA,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,10817.91516,tonnes,annual,2022-09-05 15:48:05.491298,
TZA,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,500630.8792,tonnes,annual,2022-09-05 15:48:05.491313,
TZA,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,1109500.52,tonnes,annual,2022-09-05 15:48:05.491319,
UKR,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2,4301041.118,tonnes,annual,2022-09-05 15:48:05.491482,
UKR,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,204188.3262,tonnes,annual,2022-09-05 15:48:05.491489,
UKR,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,10385853.24,tonnes,annual,2022-09-05 15:48:05.491506,
UKR,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,22122076.71,tonnes,annual,2022-09-05 15:48:05.491512,
VNM,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2,4393280.465,tonnes,annual,2022-09-05 15:48:05.49224,
VNM,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,168543.5193,tonnes,annual,2022-09-05 15:48:05.492246,
VNM,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,9415877.339,tonnes,annual,2022-09-05 15:48:05.49226,
VNM,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,19277503.3,tonnes,annual,2022-09-05 15:48:05.492269,
AGO,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,19182149.74,tonnes,annual,2022-09-05 15:48:05.492424,
AGO,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,743649.4812,tonnes,annual,2022-09-05 15:48:05.492431,
AGO,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,41342904.28,tonnes,annual,2022-09-05 15:48:05.492445,
AGO,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,84694288.05,tonnes,annual,2022-09-05 15:48:05.492451,
ALB,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,290118.0991,tonnes,annual,2022-09-05 15:48:05.492608,
ALB,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,6311.296733,tonnes,annual,2022-09-05 15:48:05.492615,
UZB,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2,12738534.82,tonnes,annual,2022-09-05 15:48:05.491866,2022-09-14 00:49:00.405216
UZB,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,585304.3639,tonnes,annual,2022-09-05 15:48:05.491873,2022-09-14 00:49:00.405216
UZB,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,30180604.87,tonnes,annual,2022-09-05 15:48:05.491889,2022-09-14 00:49:00.405216
UZB,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,62696902.34,tonnes,annual,2022-09-05 15:48:05.491896,2022-09-14 00:49:00.405216
VEN,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2,120001980.9,tonnes,annual,2022-09-05 15:48:05.492051,2022-09-14 00:49:00.405216
VEN,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,1516987.371,tonnes,annual,2022-09-05 15:48:05.492058,2022-09-14 00:49:00.405216
VEN,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,165208204.5,tonnes,annual,2022-09-05 15:48:05.492075,2022-09-14 00:49:00.405216
USA,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2,370272274.3,tonnes,annual,2022-09-05 15:48:05.491671,2022-09-19 23:04:26.871401
USA,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,12665785.5,tonnes,annual,2022-09-05 15:48:05.491677,2022-09-19 23:04:26.871401
USA,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,747712682,tonnes,annual,2022-09-05 15:48:05.491691,2022-09-19 23:04:26.871401
USA,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,1537906322,tonnes,annual,2022-09-05 15:48:05.491698,2022-09-19 23:04:26.871401
ALB,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,478194.7418,tonnes,annual,2022-09-05 15:48:05.492632,
ALB,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,896460.8017,tonnes,annual,2022-09-05 15:48:05.492638,
ARG,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,35243082.58,tonnes,annual,2022-09-05 15:48:05.492988,
ARG,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,756311.2878,tonnes,annual,2022-09-05 15:48:05.492994,
ARG,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,57781158.96,tonnes,annual,2022-09-05 15:48:05.493008,
ARG,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,108231511,tonnes,annual,2022-09-05 15:48:05.493015,
AZE,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,13406787.52,tonnes,annual,2022-09-05 15:48:05.493369,
AZE,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,349745.6818,tonnes,annual,2022-09-05 15:48:05.493376,
AZE,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,23829208.84,tonnes,annual,2022-09-05 15:48:05.493392,
AZE,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,47576781.2,tonnes,annual,2022-09-05 15:48:05.493399,
BEN,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,8238.152913,tonnes,annual,2022-09-05 15:48:05.493562,
BEN,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,473.7097388,tonnes,annual,2022-09-05 15:48:05.493568,
BEN,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,22354.70313,tonnes,annual,2022-09-05 15:48:05.493583,
BEN,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,49701.10011,tonnes,annual,2022-09-05 15:48:05.493589,
BGD,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,2776497.588,tonnes,annual,2022-09-05 15:48:05.493747,
BGD,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,200386.5835,tonnes,annual,2022-09-05 15:48:05.493754,
BGD,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,8748017.777,tonnes,annual,2022-09-05 15:48:05.49377,
BGD,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,20150919.86,tonnes,annual,2022-09-05 15:48:05.493777,
BGR,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,20087.09594,tonnes,annual,2022-09-05 15:48:05.493934,
BGR,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,567.6262929,tonnes,annual,2022-09-05 15:48:05.493941,
BGR,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,37002.35947,tonnes,annual,2022-09-05 15:48:05.493957,
BGR,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,71827.2741,tonnes,annual,2022-09-05 15:48:05.493964,
BHR,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,5028346.923,tonnes,annual,2022-09-05 15:48:05.494119,
BHR,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,125105.8943,tonnes,annual,2022-09-05 15:48:05.494125,
BHR,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,8756502.574,tonnes,annual,2022-09-05 15:48:05.494137,
BHR,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,16470804.19,tonnes,annual,2022-09-05 15:48:05.494146,
BLZ,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,10930.97828,tonnes,annual,2022-09-05 15:48:05.494293,
BLZ,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,440.1793257,tonnes,annual,2022-09-05 15:48:05.494299,
BLZ,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,24048.32218,tonnes,annual,2022-09-05 15:48:05.494313,
BLZ,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,49595.70347,tonnes,annual,2022-09-05 15:48:05.494318,
BOL,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,7120875.018,tonnes,annual,2022-09-05 15:48:05.49447,
BOL,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,228575.5122,tonnes,annual,2022-09-05 15:48:05.494476,
BOL,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,13932425.28,tonnes,annual,2022-09-05 15:48:05.494489,
BOL,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,28463581.7,tonnes,annual,2022-09-05 15:48:05.494495,
ARE,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,55770158.3,tonnes,annual,2022-09-05 15:48:05.492795,2022-09-14 00:49:00.405216
ARE,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,1314796.437,tonnes,annual,2022-09-05 15:48:05.492802,2022-09-14 00:49:00.405216
ARE,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,94951092.12,tonnes,annual,2022-09-05 15:48:05.492819,2022-09-14 00:49:00.405216
ARE,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,185119076,tonnes,annual,2022-09-05 15:48:05.492826,2022-09-14 00:49:00.405216
AUS,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,53607812.72,tonnes,annual,2022-09-05 15:48:05.493182,2022-09-14 00:49:00.405216
AUS,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,1164049.072,tonnes,annual,2022-09-05 15:48:05.493189,2022-09-14 00:49:00.405216
AUS,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,88296475.08,tonnes,annual,2022-09-05 15:48:05.493203,2022-09-14 00:49:00.405216
AUS,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,156962716.5,tonnes,annual,2022-09-05 15:48:05.49321,2022-09-14 00:49:00.405216
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,29073953.28,tonnes,annual,2022-09-05 15:48:05.494639,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,784959.2822,tonnes,annual,2022-09-05 15:48:05.494645,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,52465739.89,tonnes,annual,2022-09-05 15:48:05.494662,
BRA,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,101427846.4,tonnes,annual,2022-09-05 15:48:05.494668,
BRB,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,9176.672665,tonnes,annual,2022-09-05 15:48:05.494808,
BRB,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,330.5020514,tonnes,annual,2022-09-05 15:48:05.494814,
BRB,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,19025.6338,tonnes,annual,2022-09-05 15:48:05.494827,
BRB,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,38584.31991,tonnes,annual,2022-09-05 15:48:05.494832,
CHL,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,681166.1704,tonnes,annual,2022-09-05 15:48:05.495144,
CHL,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,19677.79209,tonnes,annual,2022-09-05 15:48:05.49515,
CHL,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,1267564.375,tonnes,annual,2022-09-05 15:48:05.495165,
CHL,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,2432196.586,tonnes,annual,2022-09-05 15:48:05.495171,
CIV,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,474571.6402,tonnes,annual,2022-09-05 15:48:05.495488,
CIV,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,27898.49424,tonnes,annual,2022-09-05 15:48:05.495494,
CIV,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,1305946.769,tonnes,annual,2022-09-05 15:48:05.495509,
CIV,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,2895394.44,tonnes,annual,2022-09-05 15:48:05.495515,
CMR,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,3121016.276,tonnes,annual,2022-09-05 15:48:05.495659,
CMR,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,112892.2598,tonnes,annual,2022-09-05 15:48:05.495665,
CMR,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,6485205.619,tonnes,annual,2022-09-05 15:48:05.49568,
CMR,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,12775703.02,tonnes,annual,2022-09-05 15:48:05.495687,
COD,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,226740.9118,tonnes,annual,2022-09-05 15:48:05.495834,
COD,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,7425.426013,tonnes,annual,2022-09-05 15:48:05.49584,
COD,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,448018.607,tonnes,annual,2022-09-05 15:48:05.495854,
COD,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,892225.4523,tonnes,annual,2022-09-05 15:48:05.495861,
COG,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,4440680.103,tonnes,annual,2022-09-05 15:48:05.496007,
COG,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,190850.928,tonnes,annual,2022-09-05 15:48:05.496013,
COG,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,10128037.76,tonnes,annual,2022-09-05 15:48:05.496026,
COG,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,20994446.71,tonnes,annual,2022-09-05 15:48:05.496031,
COL,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,25606768.17,tonnes,annual,2022-09-05 15:48:05.496176,
COL,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,345502.849,tonnes,annual,2022-09-05 15:48:05.496182,
COL,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,35902753.07,tonnes,annual,2022-09-05 15:48:05.496195,
COL,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,57725446.55,tonnes,annual,2022-09-05 15:48:05.496201,
CUB,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,1754768.593,tonnes,annual,2022-09-05 15:48:05.496344,
CUB,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,13882.42812,tonnes,annual,2022-09-05 15:48:05.49635,
CAN,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,286877054.2,tonnes,annual,2022-09-05 15:48:05.494978,2022-09-14 00:49:00.405216
CAN,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,2600809.319,tonnes,annual,2022-09-05 15:48:05.494984,2022-09-14 00:49:00.405216
CAN,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,364381171.9,tonnes,annual,2022-09-05 15:48:05.494997,2022-09-14 00:49:00.405216
CAN,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,539822827.2,tonnes,annual,2022-09-05 15:48:05.495003,2022-09-14 00:49:00.405216
CHN,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,238462600.6,tonnes,annual,2022-09-05 15:48:05.495315,2022-09-14 00:49:00.405216
CHN,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,2803303.423,tonnes,annual,2022-09-05 15:48:05.495321,2022-09-14 00:49:00.405216
CHN,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,322001042.6,tonnes,annual,2022-09-05 15:48:05.495334,2022-09-14 00:49:00.405216
CHN,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,493633286.3,tonnes,annual,2022-09-05 15:48:05.495339,2022-09-14 00:49:00.405216
CUB,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,2168464.951,tonnes,annual,2022-09-05 15:48:05.496366,
CUB,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,3014539.809,tonnes,annual,2022-09-05 15:48:05.496372,
DEU,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,956337.8938,tonnes,annual,2022-09-05 15:48:05.496521,
DEU,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,78659.29935,tonnes,annual,2022-09-05 15:48:05.496527,
DEU,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,3300385.014,tonnes,annual,2022-09-05 15:48:05.49654,
DEU,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,7681456.128,tonnes,annual,2022-09-05 15:48:05.496545,
DNK,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,1778390.338,tonnes,annual,2022-09-05 15:48:05.496688,
DNK,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,81388.21292,tonnes,annual,2022-09-05 15:48:05.496695,
DNK,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,4203759.083,tonnes,annual,2022-09-05 15:48:05.496708,
DNK,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,9438233.38,tonnes,annual,2022-09-05 15:48:05.496714,
DZA,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,56789325.65,tonnes,annual,2022-09-05 15:48:05.496861,
DZA,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,3838506.448,tonnes,annual,2022-09-05 15:48:05.496867,
DZA,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,171176817.8,tonnes,annual,2022-09-05 15:48:05.496882,
DZA,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,391340583.2,tonnes,annual,2022-09-05 15:48:05.496888,
ECU,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,7885816.833,tonnes,annual,2022-09-05 15:48:05.497028,
ECU,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,261866.4548,tonnes,annual,2022-09-05 15:48:05.497034,
ECU,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,15689437.19,tonnes,annual,2022-09-05 15:48:05.497047,
ECU,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,31128937.2,tonnes,annual,2022-09-05 15:48:05.497053,
EGY,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,16167280.38,tonnes,annual,2022-09-05 15:48:05.497198,
EGY,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,650197.1583,tonnes,annual,2022-09-05 15:48:05.497204,
EGY,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,35543155.7,tonnes,annual,2022-09-05 15:48:05.497219,
EGY,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,74630695.25,tonnes,annual,2022-09-05 15:48:05.497225,
ESP,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,36638.87109,tonnes,annual,2022-09-05 15:48:05.497367,
ESP,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,1632.907349,tonnes,annual,2022-09-05 15:48:05.497373,
ESP,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,85299.51009,tonnes,annual,2022-09-05 15:48:05.497388,
ESP,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,179473.6995,tonnes,annual,2022-09-05 15:48:05.497394,
EST,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,221227.1738,tonnes,annual,2022-09-05 15:48:05.497532,
EST,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,8672.480156,tonnes,annual,2022-09-05 15:48:05.497538,
EST,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,479667.0825,tonnes,annual,2022-09-05 15:48:05.497551,
EST,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,981735.3752,tonnes,annual,2022-09-05 15:48:05.497559,
FRA,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,221729.6123,tonnes,annual,2022-09-05 15:48:05.497701,
FRA,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,7734.365671,tonnes,annual,2022-09-05 15:48:05.497707,
FRA,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,452213.7093,tonnes,annual,2022-09-05 15:48:05.49772,
FRA,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,913454.3951,tonnes,annual,2022-09-05 15:48:05.497726,
GAB,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,3404451.588,tonnes,annual,2022-09-05 15:48:05.497875,
GAB,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,130594.1191,tonnes,annual,2022-09-05 15:48:05.497882,
GAB,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,7296156.337,tonnes,annual,2022-09-05 15:48:05.497895,
GAB,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,14744194.91,tonnes,annual,2022-09-05 15:48:05.497901,
GBR,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2,15192362.6,tonnes,annual,2022-09-05 15:48:05.498043,
GBR,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,533893.0257,tonnes,annual,2022-09-05 15:48:05.498049,
GBR,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,31102374.77,tonnes,annual,2022-09-05 15:48:05.498066,
GBR,2017-01-01 00:00:00,2017-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,64773911.61,tonnes,annual,2022-09-05 15:48:05.498072,
