country_code,year,forest_area_percent,cereal_yield,electricity_access_percent,renew_energy_percent,energy_use_per_capita,emissions_total,emissions_per_capita,emissions_per_gdp,gdp_growth_percent,gdp_per_capita,gni_per_capita,pop_growth_percent,pop_total,urb_pop_growth_percent,urban_pop_total,urban_pop_percent
ARG,2011,10.9587128976976,4596.3,99.0953521728516,8.83,1952.05105293095,176639.999389648,4.2809893532601,0.173687672176404,6.00395169280579,12848.8641969705,10710.0,1.15305928006386,41261490.0,1.30814131603172,37543830.0,90.99
ARG,2010,11.0403443575999,4876.2,98.8199996948242,8.79,1928.65235658729,167220.001220703,4.09968971416256,0.17429712271675,10.1253981561002,10385.9644319555,9270.0,0.255582398485167,40788453.0,0.429649599145157,37055902.0,90.849
ARG,2009,11.1559584753845,3249.3,97.7506561279297,8.59,1856.09639267081,156570.007324219,3.84840985551293,0.179720682465251,-5.91852507634947,8184.38988923991,7760.0,1.01428389337816,40684338.0,1.19196781572589,36897033.0,90.691
ARG,2008,11.2715725931691,4116.5,97.5167541503906,7.65,1928.32659888375,167229.995727539,4.15233040959089,0.180595857030888,4.05723310346406,8977.50685093365,7630.0,0.992294094354656,40273769.0,1.17361488361579,36459843.0,90.53
ARG,2007,11.3871867109537,4294.0,97.2927932739258,7.72,1849.45279643745,162809.997558594,4.08289558524386,0.182956122746641,9.00765087504757,7210.59554755899,6480.0,1.00629733064648,39876111.0,1.19016125791417,36034446.0,90.366
ARG,2006,11.5028008287384,3707.6,97.076057434082,9.18,1844.2651618793,154899.993896484,3.92381838907273,0.18974671222438,8.04715150043027,5890.97800169795,5460.0,1.03467173566483,39476851.0,1.22220931788621,35608120.0,90.2
ARG,2005,11.618414946523,4075.8,96.8638458251953,9.64,1712.85349015617,145990.005493164,3.73657879363165,0.19322321574873,8.85165992013437,5086.62776073134,4240.0,1.03347622351885,39070501.0,1.22359234802314,35175563.0,90.031
ARG,2004,11.7340290643076,3658.8,96.6535034179688,9.29,1720.3112556181,141380.004882813,3.65617809467905,0.203685085282725,9.02957330068152,4258.16026060875,3360.0,1.01533668354561,38668796.0,1.20915917460343,34747780.0,89.86
ARG,2003,11.8496431820922,3308.7,96.4426345825195,10.82,1590.84132143851,127660.003662109,3.33506078457966,0.200525866596056,8.83704079576924,3333.15290388997,3640.0,1.03236085902218,38278164.0,1.22879210827292,34330154.0,89.686
ARG,2002,11.9652572998769,3275.7,96.2288665771484,11.62,1502.20934243469,117470.001220703,3.10069722584613,0.20082568070104,-10.8944848285903,2579.48876933284,4020.0,1.07353834961783,37885028.0,1.27595518811745,33910889.0,89.51
ARG,2001,12.0808714176615,3398.6,95.5110626220703,11.51,1562.31178709416,125260.0,3.34200513317688,0.190813574505299,-4.40883968258557,7168.97587232911,6960.0,1.0991714603689,37480493.0,1.30873169770709,33480950.0,89.329
ARG,2000,12.1964855354461,3461.8,95.7832870483398,9.85,1660.52009057054,132270.0,3.56803987960974,0.192608720694231,-0.78899893905691,7666.51783423783,7430.0,1.13327702210541,37070774.0,1.34664689815167,33045629.0,89.142
ARG,1999,12.263208474471,3335.6,95.1331558227539,10.3061733856805,1659.76805574415,134510.0,3.66981928452247,0.194325143730064,-3.38545704063269,7735.32208018486,7540.0,1.15204385364535,36653031.0,1.36924871374482,32603604.0,88.952
ARG,1998,12.3299314134959,3812.0,94.8150024414063,11.343009140403,1650.72610902792,132670.0,3.66155951745354,0.185178114520677,3.85017885156228,8250.67317414321,7990.0,1.15817763601349,36233195.0,1.37811535334639,32160222.0,88.759
ARG,1997,12.3966543525207,3010.7,94.4920120239258,10.9990733955932,1614.73000410906,126120.0,3.52133409980704,0.182813447877876,8.1110467707457,8176.77119517435,8110.0,1.19826447409119,35815971.0,1.42208209536414,31720057.0,88.564
ARG,1996,12.4633772915456,2715.1,94.1649398803711,10.1938555855904,1583.49370638555,122550.0,3.46290503909056,0.192047016837684,5.52668982715234,7690.15700254783,7700.0,1.26041058779251,35389362.0,1.48926953663223,31272164.0,88.366
ARG,1995,12.5301002305705,2900.2,93.8344650268555,11.2051846343744,1546.50812350788,112890.0,3.23040246825755,0.186686123709768,-2.84520961057079,7383.70450960064,7340.0,1.31755424518083,34946110.0,1.54920795991608,30809888.0,88.164
ARG,1994,12.5968231695954,2759.8,93.5012741088867,10.7349093475441,1544.76057894447,111910.0,3.24483129196882,0.179799996967475,5.83620070368526,7464.4747368819,7600.0,1.34702378575008,34488696.0,1.58377374866076,30336257.0,87.96
ARG,1993,12.6635461086203,3054.5,93.1660461425781,10.1283424369342,1471.83130339105,110260.0,3.24034508822931,0.187487800271641,8.20697907221228,6957.41749889251,7110.0,1.35796579095645,34027240.0,1.5975647575265,29859584.0,87.752
ARG,1992,12.7302690476451,2928.6,92.8294525146484,9.47164961562942,1487.61907258592,107930.0,3.21523723955513,0.198587759085574,7.93729155643076,6815.61828975463,6060.0,1.38743464174592,33568285.0,1.63218682909353,29386348.0,87.542
ARG,1991,12.79699198667,2433.1,92.4921875,8.7481843073882,1434.3241990828,105920.0,3.19944294895121,0.210358364895708,9.13311056738961,5730.72380988423,3860.0,1.42406315580335,33105763.0,1.81875770013478,28910601.0,87.328
ARG,1990,12.8637149256949,2250.8,92.1548004150391,8.92290746696394,1411.35746968601,100320.0,3.07375005503612,0.217433207095566,-2.46721377810472,4330.95944095164,3180.0,1.45640251463185,32637657.0,1.88383110037878,28389540.0,86.984
ATG,2007,20.4113636363636,1625.0,100.0,0.0,1780.14046039797,460.00000834465,5.60866182628572,0.232839314277378,9.31538316339753,16006.1361107498,15460.0,1.37623327243605,82016.0,-0.759107468953717,22966.0,28.002
ATG,2006,20.5636363636364,1625.0,100.0,0.0,1767.72359231102,439.999997615814,5.43914948533054,0.243462696362555,12.7081485327737,14310.6862347854,14120.0,1.27642249519442,80895.0,-0.83912965218856,23141.0,28.606
ATG,2005,20.7159090909091,1605.3,92.1999969482422,0.0,1715.30881818979,409.999996423721,5.13340590746999,0.255693049040782,6.47383131641992,12808.0101536637,12670.0,1.16870545018922,79869.0,-0.929842485393645,23336.0,29.218
ATG,2004,20.8681818181818,1578.9,98.0371017456055,0.0,1710.13795112806,400.000005960464,5.0670754862551,0.26560604112681,5.7670286118037,11650.8484770858,11650.0,1.10308348343215,78941.0,-0.975947246488804,23554.0,29.837
ATG,1990,22.9772727272727,2381.0,95.7630462646484,0.0,1560.56581606872,210.0,3.31606872157655,0.217238728051601,3.01171468357902,7255.40630322086,6730.0,-0.485177852283798,63328.0,-0.253745100200857,22435.0,35.426
AGO,2014,56.0983011149435,888.2,32.0,48.23,540.864115629351,29629.9991607666,1.0922158317617,0.133462702491285,4.81999999862724,5059.08044128816,4800.0,3.68442896683492,27128337.0,4.85333965972379,17017877.0,62.731
AGO,2013,56.5435261089276,814.4,38.2780303955078,47.95,531.08226327439,26959.9990844727,1.03109331939749,0.127289418926584,4.9499999975523,5101.98387641128,4650.0,3.73552542857565,26147002.0,4.92641852853657,16211664.0,62.002
AGO,2012,56.9887511029117,552.0,37.1313209533691,49.47,550.601366698465,23870.0008392334,0.947662542550856,0.118278908471,8.54000000289987,4962.55207190082,4060.0,3.75870252194126,25188292.0,4.97386377959222,15432363.0,61.268
AGO,2011,57.4339760968958,662.4,34.5999984741211,51.06,520.953673858865,23870.0008392334,0.98396024649186,0.128379927257853,3.47000000135648,4511.15322719034,3360.0,3.75879638504539,24259111.0,4.9972692003532,14683555.0,60.528
AGO,2010,57.8792010908799,629.3,34.895637512207,52.51,520.785338756734,22799.9992370605,0.975852538278588,0.126880234475957,4.85999999863851,3496.78479608032,3220.0,3.73479765843852,23364185.0,4.99558074843681,13967811.0,59.783
AGO,2009,58.3244252827465,571.4,33.802188873291,52.41,515.36835836524,21149.9996185303,0.939679489694506,0.123418242401441,0.860000002152788,3123.69758573592,3170.0,3.69348247645612,22507674.0,4.97550440874176,13287180.0,59.034
AGO,2008,58.769649474613,652.7,38.4900016784668,54.88,492.071879511267,19280.0006866455,0.88882655106661,0.113473644172447,11.1699999942146,4081.71500392279,3030.0,3.67090920225351,21691522.0,4.98001182832443,12642253.0,58.282
AGO,2007,59.2148736664795,464.3,37.5,58.49,471.596701317916,16969.9993133545,0.811585642009439,0.111034358473641,14.0100000086059,3121.35047480325,2460.0,3.63958930439587,20909684.0,4.96958261730382,12028087.0,57.524
AGO,2006,59.660097858346,445.9,30.5868949890137,62.13,458.511115277294,16559.9994659424,0.821333211618413,0.123531816339466,11.549999997879,2597.96268151603,1810.0,3.5920133134417,20162340.0,4.94707962134254,11444951.0,56.764
AGO,2005,60.1053220502126,583.4,29.5277862548828,68.38,433.185633674926,15810.0004196167,0.812813415503919,0.131558818554007,15.0299999905513,1900.72472515377,1370.0,3.55765898910381,19450959.0,5.67454748217163,10892537.0,56.0
