Sector,Gas,Unit,Year,Emission
Transportation,CO2,MtCO₂e,1990,1426.97
Building,CO2,MtCO₂e,1990,545.48
Manufacturing/Construction,CO2,MtCO₂e,1990,604.44
Energy,CH4,MtCO₂e,1990,257.09
Agriculture,CH4,MtCO₂e,1990,196.96
Agriculture,N2O,MtCO₂e,1990,160.86
Industrial Processes,F-Gas,MtCO₂e,1990,99.39
Energy,N2O,MtCO₂e,1990,44.14
Transportation,N2O,MtCO₂e,1990,31.43
Industrial Processes,CO2,MtCO₂e,1990,33.48
Industrial Processes,N2O,MtCO₂e,1990,31.56
Transportation,CH4,MtCO₂e,1990,10.2
Electricity/Heat,N2O,MtCO₂e,1990,9.89
Building,CH4,MtCO₂e,1990,1.82
Manufacturing/Construction,N2O,MtCO₂e,1990,1.54
Manufacturing/Construction,CH4,MtCO₂e,1990,0.91
Electricity/Heat,CH4,MtCO₂e,1990,1.95
Building,N2O,MtCO₂e,1990,0.6
Industrial Processes,CH4,MtCO₂e,1990,0.29
